Name	Rating	Year	Rank	Fed
A. Vaiser	2385	1978	USR	555	
A.J. Whiteley	2385	1978	ENG	556	
Woodhams	2385	1978	AUS	557	
Begun	2380	1978	USR	558	
J. Bielczyk	2380	1978	POL	559	
L. Ftacnik	2380	1978	CSR	560	
Gunew	2380	1978	BUL	561	
J.A. Gutierrez	2380	1978	COL	562	
Happel	2380	1978	NED	563	
Heinicke	2380	1978	FRG	564	
Hindle	2380	1978	ENG	565	
Hoen	2380	1978	NOR	566	
S. Holm	2380	1978	SWE	567	
Huisl	2380	1978	FRG	568	
Kernan	2380	1978	IRL	569	
D. Losev	2380	1978	USR	570	
Marosi	2380	1978	HUN	571	
M. Mihaljcisin	2380	1978	YUG	572	
Nisman	2380	1978	USR	573	
H. Pedersen	2380	1978	DEN	574	
M. Peretz	2380	1978	ISR	575	
W. Rostalski	2380	1978	FRG	576	
Sapi	2380	1978	HUN	577	
Savov	2380	1978	BUL	578	
Sharif	2380	1978	IRI	579	
M. Solmundarsson	2380	1978	ISL	580	
I. Somogyi	2380	1978	HUN	581	
T. Taylor	2380	1978	USA	582	
R. Vera	2380	1978	CUB	583	
V.L. Alterman	2375	1978	USR	584	
Baumbach	2375	1978	DDR	585	
R. Behling	2375	1978	FRG	586	
E. Bykova	2375	1978	USR	587	
Cabrido	2375	1978	PHI	588	
C. Chellstorp	2375	1978	USA	589	
H. Dobosz	2375	1978	POL	590	
M. Garkov	2375	1978	BUL	591	
Gonszor	2375	1978	CSR	592	
R. Grabczewski	2375	1978	POL	593	
E. Jimenez	2375	1978	CUB	594	
A.M. Kremenietsky	2375	1978	USR	595	
A. Lanc	2375	1978	CSR	596	
E. Lundin	2375	1978	SWE	597	
Lj. Masic	2375	1978	YUG	598	
Nehmert	2375	1978	FRG	599	
P. Orlov	2375	1978	YUG	600	
J. Ost-Hansen	2375	1978	DEN	601	
D. Parr	2375	1978	AUS	602	
P. Popov	2375	1978	BUL	603	
Porjazov	2375	1978	BUL	604	
Roervall	2375	1978	SWE	605	
Simkin	2375	1978	USR	606	
H. Van Riemsdijk	2375	1978	BRA	607	
Vorobets	2375	1978	USR	608	
M. Wahlbohm	2375	1978	SWE	609	
A. Acevedo	2370	1978	MEX	610	
B. Baczynskyj	2370	1978	USA	611	
R. Borngasser	2370	1978	FRG	612	
G. Braun	2370	1978	DDR	613	
B. Bujupi	2370	1978	YUG	614	
D.H. Campora	2370	1978	ARG	615	
E. Cekro	2370	1978	YUG	616	
J. Fernandez	2370	1978	CUB	617	
J.A. Gonzales	2370	1978	COL	618	
J. Gromek	2370	1978	POL	619	
B. Jacobsen	2370	1978	DEN	620	
I. Jankovec	2370	1978	CSR	621	
I. Klivan	2370	1978	USR	622	
R. Lobo	2370	1978	ENG	623	
Luginbuhl	2370	1978	SUI	624	
Nacht	2370	1978	ROM	625	
Ji. Nun	2370	1978	CSR	626	
Pablenko	2370	1978	USR	627	
A. Palacios	2370	1978	VEN	628	
J.C. Pigott	2370	1978	ENG	629	
K. Rohrl	2370	1978	AUT	630	
R. Roth	2370	1978	SUI	631	
J. Sherwin	2370	1978	USA	632	
J. Tabor	2370	1978	HUN	633	
Taborov	2370	1978	USR	634	
Wachtel	2370	1978	CAN	635	
M. Yoffie	2370	1978	USA	636	
A. Adamski	2365	1978	POL	637	
J.B. Bednarski	2365	1978	POL	638	
M. Bohnisch	2365	1978	DDR	639	
Bouaziz	2365	1978	TUN	640	
R. Cappello	2365	1978	ITA	641	
Chermlin	2365	1978	USR	642	
M. Cuellar Gacharna	2365	1978	COL	643	
Dur	2365	1978	AUT	644	
J. Eslon	2365	1978	SWE	645	
Gild. Garcia	2365	1978	COL	646	
N. Giffard	2365	1978	FRA	647	
Harper	2365	1978	CAN	648	
S. Ivanov	2365	1978	BUL	649	
Kinnmark	2365	1978	SWE	650	
Kostro	2365	1978	POL	651	
E. Mortensen	2365	1978	DEN	652	
Puc	2365	1978	YUG	653	
A. Remon	2365	1978	CUB	654	
M. Schauwecker	2365	1978	SUI	655	
H. Schussler	2365	1978	SWE	656	
G. Szilagyi	2365	1978	HUN	657	
J.D. Tisdall	2365	1978	USA	658	
T. Tomalczyk	2365	1978	SIN	659	
D. Ugrinovic	2365	1978	YUG	660	
I. Vukovic	2365	1978	YUG	661	
S. Witkowski	2365	1978	POL	662	
L.A. Belov	2360	1978	USR	663	
R. Bernard	2360	1978	POL	664	
Bordonada	2360	1978	PHI	665	
Cheuer	2360	1978	USR	666	
J. Diez Del Corral	2360	1978	ESP	667	
Dommes	2360	1978	USR	668	
R. Ekstrom	2360	1978	SWE	669	
J.P. Fedorowicz	2360	1978	USA	670	
B. Filipovic	2360	1978	POL	671	
